Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
C153,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,119.888,20.32,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C152,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,101.346,20.32,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C151,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,82.296,20.32,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C150,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,62.738,20.32,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C159,Capacitor 100nF +/-20% 25V 0402,Bottom,CAPC0402(1005)60_L,105.664,190.754,0,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C158,Capacitor 100nF +/-20% 25V 0402,Bottom,CAPC0402(1005)60_L,76.904,190.754,0,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C157,Capacitor 100nF +/-20% 25V 0402,Bottom,CAPC0402(1005)60_L,134.874,172.974,0,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C156,Capacitor 100nF +/-20% 25V 0402,Bottom,CAPC0402(1005)60_L,106.934,172.974,0,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C155,Capacitor 100nF +/-20% 25V 0402,Bottom,CAPC0402(1005)60_L,77.216,172.974,0,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C154,Capacitor 100nF +/-20% 25V 0402,Bottom,CAPC0402(1005)60_L,48.318,172.974,0,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C149,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,19.7851,180.9124,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C148,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,164.9251,195.5264,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C147,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,150.4111,195.5264,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C146,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,135.8971,195.5264,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C145,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,121.3831,195.5264,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C144,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,106.8691,195.5264,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
C143,Capacitor 100nF +/-20% 25V 0402,Top,CAPC0402(1005)60_L,92.3551,195.5264,360,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
