Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
Capacitor 100nF +/-20% 25V 0402,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm","C1, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159",CAPC0402(1005)60_L,CMP-001-00065-4,142,C1525
22u,Capacitor SMD 0805,"C3, C4",CAP_0805,CAP_0805,2,C45783
10n,Capacitor SMD 0402,"C5, C6, C19",CAP_0402,CAP_0402,3,C15195
10p,Capacitor SMD 0402,"C7, C8, C9, C10",CAP_0402,CAP_0402,4,C32949
2u2,Capacitor SMD 0603,"C11, C13",CAP_0603,CAP_0603,2,C1604
100n,Capacitor SMD 0402,"C12, C14, C15, C16, C17, C18",CAP_0402,CAP_0402,6,C1525
GREEN,LED 0402 GREEN SMD,D1,LED_0402_GREEN,LED_0402_GREEN,1,C434449
C316041,Diode TVS / ESD 0402,D2,D_0402,D_TVS_0402,1,C316041
RED,LED 0402 RED SMD,D3,LED_0402_RED,LED_0402_RED,1,C965790
1k,Resistor SMD 0402,"R1, R8",RES_0402,RES_0402,2,C11702
10k,Resistor SMD 0402,"R2, R3, R4, R5, R9, R12",RES_0402,RES_0402,6,C25744
5k1,Resistor SMD 0402,"R6, R7",RES_0402,RES_0402,2,C25905
0R,Resistor SMD 0402,"R10, R11",RES_0402,RES_0402,2,C17168
WS2812B,"Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk","U0, U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U70, U71, U72, U73, U74, U75, U76, U77, U78, U79, U80, U81, U82, U83, U84, U85, U86, U87, U88, U89, U90, U91, U92, U93, U94, U95, U96, U97, U98, U99, U100, U101, U102, U103, U104, U105, U106, U107, U108, U109, U110, U111, U112, U113, U114, U115, U116, U117, U118, U119, U120, U121, U122, U123, U124, U125, U126, U127, U128, U129, U130, U131, U132, U133, U134, U135, U136, U137, U138, U139, U140, U141",ADAI-WS2812B_V,CMP-007-00035-2,142,C2843785
AMS1117-3.3,"LDO Voltage Regulators 1A, 3.3V",U142,FP-AMS1117-IPC_C,CMP-209535-000001-1,1,C6186
STM32F411CEU6,"ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray",U143,STM-UFQFPN48_L,CMP-0243-00165-1,1,C60420
32MHz768,Crystal SMD 3215,X1,XTAL_3215-2,XTAL_3215,1,C620155
24MHz,C7294565,X2,XTAL_3225,TSX-3225_24.0000MF15X-AC,1,C7294565
